image_name,f0,f1,f2,f3,f4,f5,f6
109-square(x).png,10,7,6,7,6,7,6
110-identity_function(x).png,7,7,6,7,6,7,6
111-exp(x).png,8,7,6,7,6,7,6
112-sin(x).png,9,7,6,7,6,7,6
113-absolute(x).png,13,7,6,7,6,7,6
114-tan(x).png,11,7,6,7,6,7,6
115-identity_function(x).png,7,7,6,7,6,7,6
116-exp(x).png,8,7,6,7,6,7,6
117-sin(x).png,9,7,6,7,6,7,6
118-exp(x).png,8,7,6,7,6,7,6
119-exp(x).png,8,7,6,7,6,7,6
120-square(x).png,10,7,6,7,6,7,6
121-absolute(x).png,13,7,6,7,6,7,6
122-square(x).png,10,7,6,7,6,7,6
123-tan(x).png,11,7,6,7,6,7,6
124-square(x).png,10,7,6,7,6,7,6
125-sin(x).png,9,7,6,7,6,7,6
126-tan(x).png,11,7,6,7,6,7,6
127-sin(x).png,9,7,6,7,6,7,6
128-sin(x).png,9,7,6,7,6,7,6
129-exp(x).png,8,7,6,7,6,7,6
130-exp(x).png,8,7,6,7,6,7,6
131-identity_function(x).png,7,7,6,7,6,7,6
132-exp(x).png,8,7,6,7,6,7,6
133-absolute(x).png,13,7,6,7,6,7,6
134-identity_function(x).png,7,7,6,7,6,7,6
135-sin(x).png,9,7,6,7,6,7,6
136-absolute(x).png,13,7,6,7,6,7,6
137-tan(x).png,11,7,6,7,6,7,6
138-exp(x).png,8,7,6,7,6,7,6
139-absolute(x).png,13,7,6,7,6,7,6
140-absolute(x).png,13,7,6,7,6,7,6
141-identity_function(x).png,7,7,6,7,6,7,6
142-exp(x).png,8,7,6,7,6,7,6
143-sin(x).png,9,7,6,7,6,7,6
144-identity_function(x).png,7,7,6,7,6,7,6
145-square(x).png,10,7,6,7,6,7,6
146-tan(x).png,11,7,6,7,6,7,6
147-exp(x).png,8,7,6,7,6,7,6
148-identity_function(x).png,7,7,6,7,6,7,6
149-tan(x).png,11,7,6,7,6,7,6
150-identity_function(x).png,7,7,6,7,6,7,6
151-tan(x).png,11,7,6,7,6,7,6
152-identity_function(x).png,7,7,6,7,6,7,6
153-absolute(x).png,13,7,6,7,6,7,6
154-square(x).png,10,7,6,7,6,7,6
155-sin(x).png,9,7,6,7,6,7,6
156-square(x).png,10,7,6,7,6,7,6
157-exp(x).png,8,7,6,7,6,7,6
158-identity_function(x).png,7,7,6,7,6,7,6
159-square(x).png,10,7,6,7,6,7,6
160-identity_function(x).png,7,7,6,7,6,7,6
161-sin(x).png,9,7,6,7,6,7,6
162-tan(x).png,11,7,6,7,6,7,6
163-sin(x).png,9,7,6,7,6,7,6
164-absolute(x).png,13,7,6,7,6,7,6
165-identity_function(x).png,7,7,6,7,6,7,6
166-identity_function(x).png,7,7,6,7,6,7,6
167-square(x).png,10,7,6,7,6,7,6
168-tan(x).png,11,7,6,7,6,7,6
169-identity_function(x).png,7,7,6,7,6,7,6
170-square(x).png,10,7,6,7,6,7,6
171-identity_function(x).png,7,7,6,7,6,7,6
172-tan(x).png,11,7,6,7,6,7,6
173-identity_function(x).png,7,7,6,7,6,7,6
174-identity_function(x).png,7,7,6,7,6,7,6
175-tan(x).png,11,7,6,7,6,7,6
176-square(x).png,10,7,6,7,6,7,6
177-tan(x).png,11,7,6,7,6,7,6
178-absolute(x).png,13,7,6,7,6,7,6
179-tan(x).png,11,7,6,7,6,7,6
180-identity_function(x).png,7,7,6,7,6,7,6
181-sin(x).png,9,7,6,7,6,7,6
182-sin(x).png,9,7,6,7,6,7,6
183-identity_function(x).png,7,7,6,7,6,7,6
184-tan(x).png,11,7,6,7,6,7,6
185-square(x).png,10,7,6,7,6,7,6
186-absolute(x).png,13,7,6,7,6,7,6
187-sin(x).png,9,7,6,7,6,7,6
188-square(x).png,10,7,6,7,6,7,6
189-square(x).png,10,7,6,7,6,7,6
190-tan(x).png,11,7,6,7,6,7,6
191-identity_function(x).png,7,7,6,7,6,7,6
192-identity_function(x).png,7,7,6,7,6,7,6
193-exp(x).png,8,7,6,7,6,7,6
194-exp(x).png,8,7,6,7,6,7,6
195-exp(x).png,8,7,6,7,6,7,6
196-identity_function(x).png,7,7,6,7,6,7,6
197-exp(x).png,8,7,6,7,6,7,6
198-absolute(x).png,13,7,6,7,6,7,6
199-identity_function(x).png,7,7,6,7,6,7,6
200-sin(x).png,9,7,6,7,6,7,6
201-identity_function(x).png,7,7,6,7,6,7,6
202-sin(x).png,9,7,6,7,6,7,6
203-identity_function(x).png,7,7,6,7,6,7,6
204-sin(x).png,9,7,6,7,6,7,6
205-absolute(x).png,13,7,6,7,6,7,6
206-absolute(x).png,13,7,6,7,6,7,6
207-absolute(x).png,13,7,6,7,6,7,6
208-absolute(x).png,13,7,6,7,6,7,6
209-absolute(x).png,13,7,6,7,6,7,6
210-square(x).png,10,7,6,7,6,7,6
211-square(x).png,10,7,6,7,6,7,6
212-absolute(x).png,13,7,6,7,6,7,6
213-square(x).png,10,7,6,7,6,7,6
214-absolute(x).png,13,7,6,7,6,7,6
215-square(x).png,10,7,6,7,6,7,6
216-exp(x).png,8,7,6,7,6,7,6
217-tan(x).png,11,7,6,7,6,7,6
218-square(x).png,10,7,6,7,6,7,6
219-tan(x).png,11,7,6,7,6,7,6
220-exp(x).png,8,7,6,7,6,7,6
221-tan(x).png,11,7,6,7,6,7,6
222-sin(x).png,9,7,6,7,6,7,6
223-absolute(x).png,13,7,6,7,6,7,6
224-square(x).png,10,7,6,7,6,7,6
225-absolute(x).png,13,7,6,7,6,7,6
226-sin(x).png,9,7,6,7,6,7,6
227-identity_function(x).png,7,7,6,7,6,7,6
228-identity_function(x).png,7,7,6,7,6,7,6
229-identity_function(x).png,7,7,6,7,6,7,6
230-tan(x).png,11,7,6,7,6,7,6
231-tan(x).png,11,7,6,7,6,7,6
232-sin(x).png,9,7,6,7,6,7,6
233-square(x).png,10,7,6,7,6,7,6
234-identity_function(x).png,7,7,6,7,6,7,6
235-identity_function(x).png,7,7,6,7,6,7,6
236-sin(x).png,9,7,6,7,6,7,6
237-identity_function(x).png,7,7,6,7,6,7,6
238-square(x).png,10,7,6,7,6,7,6
239-tan(x).png,11,7,6,7,6,7,6
240-square(x).png,10,7,6,7,6,7,6
241-exp(x).png,8,7,6,7,6,7,6
242-square(x).png,10,7,6,7,6,7,6
243-exp(x).png,8,7,6,7,6,7,6
244-tan(x).png,11,7,6,7,6,7,6
245-absolute(x).png,13,7,6,7,6,7,6
246-identity_function(x).png,7,7,6,7,6,7,6
247-sin(x).png,9,7,6,7,6,7,6
248-absolute(x).png,13,7,6,7,6,7,6
249-sin(x).png,9,7,6,7,6,7,6
250-square(x).png,10,7,6,7,6,7,6
251-exp(x).png,8,7,6,7,6,7,6
252-absolute(x).png,13,7,6,7,6,7,6
253-sin(x).png,9,7,6,7,6,7,6
254-identity_function(x).png,7,7,6,7,6,7,6
255-square(x).png,10,7,6,7,6,7,6
256-square(x).png,10,7,6,7,6,7,6
257-identity_function(x).png,7,7,6,7,6,7,6
258-tan(x).png,11,7,6,7,6,7,6
259-sin(x).png,9,7,6,7,6,7,6
260-identity_function(x).png,7,7,6,7,6,7,6
261-exp(x).png,8,7,6,7,6,7,6
262-sin(x).png,9,7,6,7,6,7,6
263-sin(x).png,9,7,6,7,6,7,6
264-tan(x).png,11,7,6,7,6,7,6
265-square(x).png,10,7,6,7,6,7,6
266-identity_function(x).png,7,7,6,7,6,7,6
267-absolute(x).png,13,7,6,7,6,7,6
268-exp(x).png,8,7,6,7,6,7,6
269-identity_function(x).png,7,7,6,7,6,7,6
270-square(x).png,10,7,6,7,6,7,6
271-absolute(x).png,13,7,6,7,6,7,6
272-absolute(x).png,13,7,6,7,6,7,6
273-tan(x).png,11,7,6,7,6,7,6
274-exp(x).png,8,7,6,7,6,7,6
275-sin(x).png,9,7,6,7,6,7,6
276-tan(x).png,11,7,6,7,6,7,6
277-square(x).png,10,7,6,7,6,7,6
278-sin(x).png,9,7,6,7,6,7,6
279-identity_function(x).png,7,7,6,7,6,7,6
280-absolute(x).png,13,7,6,7,6,7,6
281-absolute(x).png,13,7,6,7,6,7,6
282-sin(x).png,9,7,6,7,6,7,6
283-absolute(x).png,13,7,6,7,6,7,6
284-absolute(x).png,13,7,6,7,6,7,6
285-absolute(x).png,13,7,6,7,6,7,6
286-square(x).png,10,7,6,7,6,7,6
287-absolute(x).png,13,7,6,7,6,7,6
288-sin(x).png,9,7,6,7,6,7,6
289-identity_function(x).png,7,7,6,7,6,7,6
290-square(x).png,10,7,6,7,6,7,6
291-sin(x).png,9,7,6,7,6,7,6
292-identity_function(x).png,7,7,6,7,6,7,6
293-exp(x).png,8,7,6,7,6,7,6
294-absolute(x).png,13,7,6,7,6,7,6
295-sin(x).png,9,7,6,7,6,7,6
296-sin(x).png,9,7,6,7,6,7,6
297-identity_function(x).png,7,7,6,7,6,7,6
298-exp(x).png,8,7,6,7,6,7,6
299-sin(x).png,9,7,6,7,6,7,6
300-tan(x).png,11,7,6,7,6,7,6
301-absolute(x).png,13,7,6,7,6,7,6
302-identity_function(x).png,7,7,6,7,6,7,6
303-exp(x).png,8,7,6,7,6,7,6
304-absolute(x).png,13,7,6,7,6,7,6
305-absolute(x).png,13,7,6,7,6,7,6
306-absolute(x).png,13,7,6,7,6,7,6
307-tan(x).png,11,7,6,7,6,7,6
308-identity_function(x).png,7,7,6,7,6,7,6
309-tan(x).png,11,7,6,7,6,7,6
310-square(x).png,10,7,6,7,6,7,6
311-identity_function(x).png,7,7,6,7,6,7,6
312-identity_function(x).png,7,7,6,7,6,7,6
313-absolute(x).png,13,7,6,7,6,7,6
314-identity_function(x).png,7,7,6,7,6,7,6
315-square(x).png,10,7,6,7,6,7,6
316-tan(x).png,11,7,6,7,6,7,6
317-sin(x).png,9,7,6,7,6,7,6
318-sin(x).png,9,7,6,7,6,7,6
319-absolute(x).png,13,7,6,7,6,7,6
320-sin(x).png,9,7,6,7,6,7,6
321-identity_function(x).png,7,7,6,7,6,7,6
322-tan(x).png,11,7,6,7,6,7,6
323-sin(x).png,9,7,6,7,6,7,6
324-absolute(x).png,13,7,6,7,6,7,6
325-exp(x).png,8,7,6,7,6,7,6
326-identity_function(x).png,7,7,6,7,6,7,6
327-exp(x).png,8,7,6,7,6,7,6
328-absolute(x).png,13,7,6,7,6,7,6
329-exp(x).png,8,7,6,7,6,7,6
330-tan(x).png,11,7,6,7,6,7,6
331-tan(x).png,11,7,6,7,6,7,6
332-identity_function(x).png,7,7,6,7,6,7,6
333-exp(x).png,8,7,6,7,6,7,6
334-exp(x).png,8,7,6,7,6,7,6
335-sin(x).png,9,7,6,7,6,7,6
336-absolute(x).png,13,7,6,7,6,7,6
337-identity_function(x).png,7,7,6,7,6,7,6
338-absolute(x).png,13,7,6,7,6,7,6
339-sin(x).png,9,7,6,7,6,7,6
340-sin(x).png,9,7,6,7,6,7,6
341-square(x).png,10,7,6,7,6,7,6
342-sin(x).png,9,7,6,7,6,7,6
343-tan(x).png,11,7,6,7,6,7,6
344-identity_function(x).png,7,7,6,7,6,7,6
345-tan(x).png,11,7,6,7,6,7,6
346-square(x).png,10,7,6,7,6,7,6
347-square(x).png,10,7,6,7,6,7,6
348-square(x).png,10,7,6,7,6,7,6
349-sin(x).png,9,7,6,7,6,7,6
350-sin(x).png,9,7,6,7,6,7,6
351-square(x).png,10,7,6,7,6,7,6
352-exp(x).png,8,7,6,7,6,7,6
353-identity_function(x).png,7,7,6,7,6,7,6
354-sin(x).png,9,7,6,7,6,7,6
355-tan(x).png,11,7,6,7,6,7,6
356-sin(x).png,9,7,6,7,6,7,6
357-square(x).png,10,7,6,7,6,7,6
358-absolute(x).png,13,7,6,7,6,7,6
359-identity_function(x).png,7,7,6,7,6,7,6
360-exp(x).png,8,7,6,7,6,7,6
361-exp(x).png,8,7,6,7,6,7,6
362-absolute(x).png,13,7,6,7,6,7,6
363-identity_function(x).png,7,7,6,7,6,7,6
364-exp(x).png,8,7,6,7,6,7,6
365-exp(x).png,8,7,6,7,6,7,6
366-tan(x).png,11,7,6,7,6,7,6
367-tan(x).png,11,7,6,7,6,7,6
368-square(x).png,10,7,6,7,6,7,6
369-tan(x).png,11,7,6,7,6,7,6
370-absolute(x).png,13,7,6,7,6,7,6
371-absolute(x).png,13,7,6,7,6,7,6
372-identity_function(x).png,7,7,6,7,6,7,6
373-sin(x).png,9,7,6,7,6,7,6
374-identity_function(x).png,7,7,6,7,6,7,6
375-identity_function(x).png,7,7,6,7,6,7,6
376-identity_function(x).png,7,7,6,7,6,7,6
377-square(x).png,10,7,6,7,6,7,6
378-tan(x).png,11,7,6,7,6,7,6
379-tan(x).png,11,7,6,7,6,7,6
380-sin(x).png,9,7,6,7,6,7,6
381-identity_function(x).png,7,7,6,7,6,7,6
382-square(x).png,10,7,6,7,6,7,6
383-exp(x).png,8,7,6,7,6,7,6
384-sin(x).png,9,7,6,7,6,7,6
385-square(x).png,10,7,6,7,6,7,6
386-sin(x).png,9,7,6,7,6,7,6
387-exp(x).png,8,7,6,7,6,7,6
388-identity_function(x).png,7,7,6,7,6,7,6
389-absolute(x).png,13,7,6,7,6,7,6
390-exp(x).png,8,7,6,7,6,7,6
391-exp(x).png,8,7,6,7,6,7,6
392-absolute(x).png,13,7,6,7,6,7,6
393-tan(x).png,11,7,6,7,6,7,6
394-identity_function(x).png,7,7,6,7,6,7,6
395-identity_function(x).png,7,7,6,7,6,7,6
396-exp(x).png,8,7,6,7,6,7,6
397-tan(x).png,11,7,6,7,6,7,6
398-exp(x).png,8,7,6,7,6,7,6
399-identity_function(x).png,7,7,6,7,6,7,6
400-square(x).png,10,7,6,7,6,7,6
401-absolute(x).png,13,7,6,7,6,7,6
402-tan(x).png,11,7,6,7,6,7,6
403-sin(x).png,9,7,6,7,6,7,6
404-sin(x).png,9,7,6,7,6,7,6
405-absolute(x).png,13,7,6,7,6,7,6
406-absolute(x).png,13,7,6,7,6,7,6
407-square(x).png,10,7,6,7,6,7,6
408-square(x).png,10,7,6,7,6,7,6
409-identity_function(x).png,7,7,6,7,6,7,6
410-absolute(x).png,13,7,6,7,6,7,6
411-sin(x).png,9,7,6,7,6,7,6
412-absolute(x).png,13,7,6,7,6,7,6
413-tan(x).png,11,7,6,7,6,7,6
414-square(x).png,10,7,6,7,6,7,6
415-identity_function(x).png,7,7,6,7,6,7,6
416-identity_function(x).png,7,7,6,7,6,7,6
417-square(x).png,10,7,6,7,6,7,6
418-sin(x).png,9,7,6,7,6,7,6
419-exp(x).png,8,7,6,7,6,7,6
420-identity_function(x).png,7,7,6,7,6,7,6
421-identity_function(x).png,7,7,6,7,6,7,6
422-sin(x).png,9,7,6,7,6,7,6
423-square(x).png,10,7,6,7,6,7,6
424-exp(x).png,8,7,6,7,6,7,6
425-exp(x).png,8,7,6,7,6,7,6
426-identity_function(x).png,7,7,6,7,6,7,6
427-absolute(x).png,13,7,6,7,6,7,6
428-tan(x).png,11,7,6,7,6,7,6
429-identity_function(x).png,7,7,6,7,6,7,6
430-square(x).png,10,7,6,7,6,7,6
431-square(x).png,10,7,6,7,6,7,6
432-absolute(x).png,13,7,6,7,6,7,6
433-tan(x).png,11,7,6,7,6,7,6
434-tan(x).png,11,7,6,7,6,7,6
435-exp(x).png,8,7,6,7,6,7,6
436-tan(x).png,11,7,6,7,6,7,6
437-sin(x).png,9,7,6,7,6,7,6
438-tan(x).png,11,7,6,7,6,7,6
439-sin(x).png,9,7,6,7,6,7,6
440-sin(x).png,9,7,6,7,6,7,6
441-square(x).png,10,7,6,7,6,7,6
442-tan(x).png,11,7,6,7,6,7,6
443-square(x).png,10,7,6,7,6,7,6
444-square(x).png,10,7,6,7,6,7,6
445-square(x).png,10,7,6,7,6,7,6
446-tan(x).png,11,7,6,7,6,7,6
447-square(x).png,10,7,6,7,6,7,6
448-square(x).png,10,7,6,7,6,7,6
449-sin(x).png,9,7,6,7,6,7,6
450-sin(x).png,9,7,6,7,6,7,6
451-absolute(x).png,13,7,6,7,6,7,6
452-absolute(x).png,13,7,6,7,6,7,6
453-tan(x).png,11,7,6,7,6,7,6
454-square(x).png,10,7,6,7,6,7,6
455-exp(x).png,8,7,6,7,6,7,6
456-sin(x).png,9,7,6,7,6,7,6
457-tan(x).png,11,7,6,7,6,7,6
458-absolute(x).png,13,7,6,7,6,7,6
459-square(x).png,10,7,6,7,6,7,6
460-exp(x).png,8,7,6,7,6,7,6
461-square(x).png,10,7,6,7,6,7,6
462-sin(x).png,9,7,6,7,6,7,6
463-identity_function(x).png,7,7,6,7,6,7,6
464-tan(x).png,11,7,6,7,6,7,6
465-tan(x).png,11,7,6,7,6,7,6
466-tan(x).png,11,7,6,7,6,7,6
467-absolute(x).png,13,7,6,7,6,7,6
468-exp(x).png,8,7,6,7,6,7,6
469-square(x).png,10,7,6,7,6,7,6
470-tan(x).png,11,7,6,7,6,7,6
471-tan(x).png,11,7,6,7,6,7,6
472-square(x).png,10,7,6,7,6,7,6
473-exp(x).png,8,7,6,7,6,7,6
474-absolute(x).png,13,7,6,7,6,7,6
475-sin(x).png,9,7,6,7,6,7,6
476-exp(x).png,8,7,6,7,6,7,6
477-square(x).png,10,7,6,7,6,7,6
478-absolute(x).png,13,7,6,7,6,7,6
479-tan(x).png,11,7,6,7,6,7,6
480-sin(x).png,9,7,6,7,6,7,6
481-absolute(x).png,13,7,6,7,6,7,6
482-square(x).png,10,7,6,7,6,7,6
483-exp(x).png,8,7,6,7,6,7,6
484-identity_function(x).png,7,7,6,7,6,7,6
485-identity_function(x).png,7,7,6,7,6,7,6
486-square(x).png,10,7,6,7,6,7,6
487-exp(x).png,8,7,6,7,6,7,6
488-square(x).png,10,7,6,7,6,7,6
489-identity_function(x).png,7,7,6,7,6,7,6
490-tan(x).png,11,7,6,7,6,7,6
491-absolute(x).png,13,7,6,7,6,7,6
492-tan(x).png,11,7,6,7,6,7,6
493-identity_function(x).png,7,7,6,7,6,7,6
494-identity_function(x).png,7,7,6,7,6,7,6
495-absolute(x).png,13,7,6,7,6,7,6
496-identity_function(x).png,7,7,6,7,6,7,6
497-sin(x).png,9,7,6,7,6,7,6
498-exp(x).png,8,7,6,7,6,7,6
499-absolute(x).png,13,7,6,7,6,7,6
500-sin(x).png,9,7,6,7,6,7,6
501-absolute(x).png,13,7,6,7,6,7,6
502-exp(x).png,8,7,6,7,6,7,6
503-tan(x).png,11,7,6,7,6,7,6
504-square(x).png,10,7,6,7,6,7,6
505-exp(x).png,8,7,6,7,6,7,6
506-exp(x).png,8,7,6,7,6,7,6
507-absolute(x).png,13,7,6,7,6,7,6
508-sin(x).png,9,7,6,7,6,7,6
509-tan(x).png,11,7,6,7,6,7,6
510-square(x).png,10,7,6,7,6,7,6
511-absolute(x).png,13,7,6,7,6,7,6
512-identity_function(x).png,7,7,6,7,6,7,6
513-absolute(x).png,13,7,6,7,6,7,6
514-square(x).png,10,7,6,7,6,7,6
515-square(x).png,10,7,6,7,6,7,6
516-tan(x).png,11,7,6,7,6,7,6
517-square(x).png,10,7,6,7,6,7,6
518-absolute(x).png,13,7,6,7,6,7,6
519-identity_function(x).png,7,7,6,7,6,7,6
520-sin(x).png,9,7,6,7,6,7,6
521-identity_function(x).png,7,7,6,7,6,7,6
522-square(x).png,10,7,6,7,6,7,6
523-sin(x).png,9,7,6,7,6,7,6
524-absolute(x).png,13,7,6,7,6,7,6
525-exp(x).png,8,7,6,7,6,7,6
526-identity_function(x).png,7,7,6,7,6,7,6
527-identity_function(x).png,7,7,6,7,6,7,6
528-tan(x).png,11,7,6,7,6,7,6
529-exp(x).png,8,7,6,7,6,7,6
530-square(x).png,10,7,6,7,6,7,6
531-absolute(x).png,13,7,6,7,6,7,6
532-tan(x).png,11,7,6,7,6,7,6
533-square(x).png,10,7,6,7,6,7,6
534-identity_function(x).png,7,7,6,7,6,7,6
535-sin(x).png,9,7,6,7,6,7,6
536-exp(x).png,8,7,6,7,6,7,6
537-identity_function(x).png,7,7,6,7,6,7,6
538-absolute(x).png,13,7,6,7,6,7,6
539-sin(x).png,9,7,6,7,6,7,6
540-identity_function(x).png,7,7,6,7,6,7,6
541-tan(x).png,11,7,6,7,6,7,6
542-identity_function(x).png,7,7,6,7,6,7,6
543-sin(x).png,9,7,6,7,6,7,6
544-identity_function(x).png,7,7,6,7,6,7,6
545-exp(x).png,8,7,6,7,6,7,6
546-square(x).png,10,7,6,7,6,7,6
547-tan(x).png,11,7,6,7,6,7,6
548-identity_function(x).png,7,7,6,7,6,7,6
549-absolute(x).png,13,7,6,7,6,7,6
550-absolute(x).png,13,7,6,7,6,7,6
551-absolute(x).png,13,7,6,7,6,7,6
552-absolute(x).png,13,7,6,7,6,7,6
553-identity_function(x).png,7,7,6,7,6,7,6
554-tan(x).png,11,7,6,7,6,7,6
555-identity_function(x).png,7,7,6,7,6,7,6
556-exp(x).png,8,7,6,7,6,7,6
557-sin(x).png,9,7,6,7,6,7,6
558-absolute(x).png,13,7,6,7,6,7,6
559-sin(x).png,9,7,6,7,6,7,6
560-absolute(x).png,13,7,6,7,6,7,6
561-sin(x).png,9,7,6,7,6,7,6
562-exp(x).png,8,7,6,7,6,7,6
563-sin(x).png,9,7,6,7,6,7,6
564-identity_function(x).png,7,7,6,7,6,7,6
565-identity_function(x).png,7,7,6,7,6,7,6
566-sin(x).png,9,7,6,7,6,7,6
567-identity_function(x).png,7,7,6,7,6,7,6
568-tan(x).png,11,7,6,7,6,7,6
569-identity_function(x).png,7,7,6,7,6,7,6
570-identity_function(x).png,7,7,6,7,6,7,6
571-sin(x).png,9,7,6,7,6,7,6
572-absolute(x).png,13,7,6,7,6,7,6
573-absolute(x).png,13,7,6,7,6,7,6
574-sin(x).png,9,7,6,7,6,7,6
575-exp(x).png,8,7,6,7,6,7,6
576-square(x).png,10,7,6,7,6,7,6
577-exp(x).png,8,7,6,7,6,7,6
578-exp(x).png,8,7,6,7,6,7,6
579-exp(x).png,8,7,6,7,6,7,6
580-absolute(x).png,13,7,6,7,6,7,6
581-sin(x).png,9,7,6,7,6,7,6
582-identity_function(x).png,7,7,6,7,6,7,6
583-tan(x).png,11,7,6,7,6,7,6
584-identity_function(x).png,7,7,6,7,6,7,6
585-square(x).png,10,7,6,7,6,7,6
586-absolute(x).png,13,7,6,7,6,7,6
587-tan(x).png,11,7,6,7,6,7,6
588-exp(x).png,8,7,6,7,6,7,6
589-square(x).png,10,7,6,7,6,7,6
590-sin(x).png,9,7,6,7,6,7,6
591-absolute(x).png,13,7,6,7,6,7,6
592-square(x).png,10,7,6,7,6,7,6
593-identity_function(x).png,7,7,6,7,6,7,6
594-sin(x).png,9,7,6,7,6,7,6
595-sin(x).png,9,7,6,7,6,7,6
596-tan(x).png,11,7,6,7,6,7,6
